1,google.com
2,www.google.com
3,microsoft.com
4,data.microsoft.com
5,events.data.microsoft.com
6,safebrowsing.googleapis.com
7,live.com
8,doubleclick.net
9,g.doubleclick.net
10,netflix.com
11,windowsupdate.com
12,clientservices.googleapis.com
13,ctldl.windowsupdate.com
14,googleusercontent.com
15,apple.com
16,play.google.com
17,google-analytics.com
18,cloud.netflix.com
19,prod.cloud.netflix.com
20,ftl.netflix.com
21,prod.ftl.netflix.com
22,www.googleapis.com
23,microsoftonline.com
24,amazonaws.com
25,bing.com
26,settings-win.data.microsoft.com
27,login.microsoftonline.com
28,www.google-analytics.com
29,nrdp.prod.cloud.netflix.com
30,officeapps.live.com
31,facebook.com
32,office.com
33,update.googleapis.com
34,googleads.g.doubleclick.net
35,fonts.googleapis.com
36,office365.com
37,self.events.data.microsoft.com
38,digicert.com
39,nrdp-ipv6.prod.ftl.netflix.com
40,icloud.com
41,youtube.com
42,netflix.net
43,outlook.office365.com
44,googletagmanager.com
45,partner.netflix.net
46,prod.partner.netflix.net
47,www.googletagmanager.com
48,skype.com
49,preapp.prod.partner.netflix.net
50,mp.microsoft.com
51,mtalk.google.com
52,teams.microsoft.com
53,lencr.org
54,itunes.apple.com
55,office.net
56,akadns.net
57,ocsp.digicert.com
58,akamaiedge.net
59,nexusrules.officeapps.live.com
60,clients4.google.com
61,optimizationguide-pa.googleapis.com
62,ls.apple.com
63,com.akadns.net
64,apple-dns.net
65,lh3.googleusercontent.com
66,content-autofill.googleapis.com
67,fe.apple-dns.net
68,www.bing.com
69,msn.com
70,outlook.office.com
71,adservice.google.com
72,smartscreen.microsoft.com
73,www.youtube.com
74,stats.g.doubleclick.net
75,gateway.icloud.com
76,edge.microsoft.com
77,accounts.google.com
78,gateway.fe.apple-dns.net
79,play.googleapis.com
80,aaplimg.com
81,config.teams.microsoft.com
82,dsp.mp.microsoft.com
83,ytimg.com
84,login.live.com
85,do.dsp.mp.microsoft.com
86,prod.do.dsp.mp.microsoft.com
87,i.ytimg.com
88,init.itunes.apple.com
89,googlesyndication.com
90,cdn.office.net
91,graph.microsoft.com
92,clients6.google.com
93,g.aaplimg.com
94,c.lencr.org
95,edge.skype.com
96,x1.c.lencr.org
97,v10.events.data.microsoft.com
98,config.edge.skype.com
99,msedge.net
100,apis.google.com